Responder_id,Responder_age,LanguagesWorkedWith
37,41,Bash/Shell/PowerShell;JavaScript;Python;Other(s):
38,35,C#;HTML/CSS;JavaScript;SQL
39,57,C#;JavaScript;SQL;TypeScript
40,47,C#;HTML/CSS
41,51,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;SQL
42,20,HTML/CSS;JavaScript;PHP;TypeScript
43,42,C++;C#;HTML/CSS;Java;JavaScript;Objective-C;SQL
44,20,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript;WebAssembly
45,25,Python
46,20,Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;PHP;Python;SQL;Other(s):
47,50,Java;PHP;Ruby
48,20,HTML/CSS;PHP;SQL
49,38,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
50,20,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
51,25,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python;R;TypeScript
52,52,Bash/Shell/PowerShell;C;C++;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;Rust;SQL;TypeScript
53,43,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
54,23,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python
55,39,Java;Python;SQL
56,27,Bash/Shell/PowerShell;HTML/CSS;Java;SQL
57,26,JavaScript;Python
58,54,C#;Java;SQL
59,40,HTML/CSS;JavaScript;PHP;SQL
60,32,Bash/Shell/PowerShell;Go;JavaScript;PHP;Python;Ruby;SQL
61,47,C++;C#;HTML/CSS;JavaScript;PHP;Python;SQL;VBA
62,42,Bash/Shell/PowerShell;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript;VBA
63,34,Bash/Shell/PowerShell;Clojure;Java;Python;Other(s):
64,22,Bash/Shell/PowerShell;C;C++;C#
65,32,Assembly;C;C++;C#;HTML/CSS;Java
66,27,Clojure;Go;HTML/CSS;Java;JavaScript;R;SQL
67,19,C;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA
68,44,HTML/CSS;Java;JavaScript;Python
69,47,C#;HTML/CSS;Java;JavaScript;Objective-C;SQL;TypeScript
70,50,C#;HTML/CSS;JavaScript;SQL
71,25,HTML/CSS;JavaScript;PHP;Python;SQL;VBA
72,24,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
73,54,SQL
74,27,HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby
75,40,HTML/CSS;JavaScript
76,26,PHP;SQL
77,32,HTML/CSS;JavaScript;PHP;SQL
78,25,HTML/CSS;Java;JavaScript;Kotlin;Python
79,28,C#;HTML/CSS;JavaScript;TypeScript
80,27,Bash/Shell/PowerShell;C#;F#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
81,50,Assembly;Bash/Shell/PowerShell;C;C++;Python
82,34,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python;Rust
83,28,HTML/CSS;JavaScript
84,44,C;C++;C#;Java;Kotlin;PHP;SQL
85,22,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
86,21,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL
87,28,Bash/Shell/PowerShell;C;C++;C#;Go;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL
88,50,C++;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
89,51,Bash/Shell/PowerShell;Python
90,30,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Ruby;SQL;Swift;TypeScript
91,42,HTML/CSS;JavaScript;TypeScript
92,50,HTML/CSS;Java;JavaScript;Kotlin;SQL;VBA
93,45,Python;SQL
94,27,C#;HTML/CSS;JavaScript;SQL
95,42,C#;HTML/CSS;JavaScript;Python;R;SQL
96,22,C;C++;Java;Python;R;Scala;SQL
97,39,Bash/Shell/PowerShell;JavaScript;Python;R;SQL
98,33,HTML/CSS;Java;JavaScript;SQL
99,40,C;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL
100,42,HTML/CSS;JavaScript;Ruby;SQL;TypeScript
101,31,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL
102,27,C#;HTML/CSS;JavaScript;SQL;TypeScript
103,57,Clojure;Go;Java;Kotlin
104,57,C#;HTML/CSS;TypeScript
105,38,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL
106,53,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL
107,53,HTML/CSS;Java;Python
108,35,C++;Python
109,26,C#;HTML/CSS;JavaScript;SQL
110,37,Python;SQL
111,37,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;VBA
112,40,Assembly;C;C++;C#;HTML/CSS;Java;JavaScript;Python;VBA
113,34,Bash/Shell/PowerShell;C;C++
114,34,Bash/Shell/PowerShell;C++;Erlang;JavaScript;PHP;Python
115,55,Assembly;C#;HTML/CSS;Java;JavaScript;SQL;Swift
116,45,Scala;Other(s):
117,34,C#;HTML/CSS;JavaScript;SQL;TypeScript
118,36,Bash/Shell/PowerShell;C;C++
119,37,C;C++;C#;HTML/CSS;Java;JavaScript;SQL
120,54,Elixir;HTML/CSS;JavaScript;Python;Ruby;SQL
121,50,Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;Python
122,22,Assembly;Bash/Shell/PowerShell;C++;Python;SQL
123,50,HTML/CSS;JavaScript;TypeScript
124,31,HTML/CSS;Java;SQL
125,37,Bash/Shell/PowerShell;Dart;HTML/CSS;Java;JavaScript;Scala
126,29,C#;SQL
127,49,Bash/Shell/PowerShell;C;Python
128,31,Bash/Shell/PowerShell;Go;Ruby
129,53,C++;Python;R
130,50,Bash/Shell/PowerShell;C++;Clojure;HTML/CSS;Java;Python;Ruby;SQL
131,19,Java
132,55,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;Python;TypeScript
133,33,JavaScript;PHP;SQL
134,21,C;C++;HTML/CSS;JavaScript;SQL
135,23,Go;HTML/CSS;JavaScript;TypeScript
136,46,C#;Java;PHP;Python
137,36,HTML/CSS;Java;JavaScript;PHP;SQL
139,37,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL
140,22,Java;JavaScript;Kotlin;PHP;SQL
141,53,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
142,53,Bash/Shell/PowerShell;C#
143,32,C;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
144,48,Java;SQL
145,55,Assembly;C++;Python;VBA
146,36,Bash/Shell/PowerShell;C;Python;Scala
147,39,HTML/CSS;Java;JavaScript;Kotlin
148,55,HTML/CSS;JavaScript;TypeScript
149,45,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL
150,45,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python;SQL
151,31,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
152,25,HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;Swift;Other(s):
153,49,C;C++;Python
154,55,HTML/CSS;Java;JavaScript;PHP;SQL;VBA
155,48,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript
156,48,Bash/Shell/PowerShell;Python
157,32,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
158,25,Java;SQL;Other(s):
159,31,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python
160,51,C#
161,57,HTML/CSS;JavaScript;PHP
162,23,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;PHP;SQL
163,38,C#;HTML/CSS;JavaScript;SQL;Other(s):
164,26,C#;HTML/CSS;JavaScript;SQL
165,49,Assembly;Bash/Shell/PowerShell;C;C++;C#;JavaScript;Python;SQL
166,46,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Ruby;SQL
167,28,HTML/CSS;Java;JavaScript;PHP;Python;SQL
168,44,Bash/Shell/PowerShell;Python
169,36,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
170,20,Clojure;Go;HTML/CSS;Java;JavaScript;Python;Ruby;TypeScript
171,53,Assembly;C;C++;C#;HTML/CSS;Java;Objective-C;PHP;Python;R;SQL;Swift
172,51,HTML/CSS;JavaScript;Objective-C;SQL
173,37,HTML/CSS;JavaScript;PHP;SQL;TypeScript
174,46,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;R
175,54,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
176,25,C;C++;C#;HTML/CSS;Java;JavaScript;Python;SQL
177,53,C#;Python;SQL
178,28,JavaScript;PHP;Python;Ruby;SQL;TypeScript
179,22,HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift
181,31,HTML/CSS;JavaScript
182,31,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript
183,25,Dart;Go;Java;Kotlin;Swift
184,29,Bash/Shell/PowerShell;C;C++;Java;JavaScript;Kotlin;Objective-C;Python;Rust;Swift
185,24,Bash/Shell/PowerShell;Java;Kotlin
186,35,Assembly;C;C++;HTML/CSS;Java;JavaScript;Python
187,51,HTML/CSS;JavaScript;Ruby;Scala;SQL
188,38,C#;Python;R;SQL;VBA
189,39,C++;HTML/CSS;JavaScript;Python;SQL
190,55,Java;Scala;SQL;TypeScript
191,22,C#;HTML/CSS;JavaScript;SQL;TypeScript
192,38,Bash/Shell/PowerShell;JavaScript;Python
193,48,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Ruby;SQL
194,40,Assembly;Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;PHP
195,47,C#;TypeScript;Other(s):
196,26,C#;HTML/CSS;JavaScript;SQL;TypeScript
197,25,HTML/CSS;R;VBA
198,45,HTML/CSS;Java;JavaScript;Python;SQL
199,21,R;SQL
200,56,Java;JavaScript;SQL;VBA
201,18,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Python;Scala
202,53,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;TypeScript
203,24,C;C++;HTML/CSS;JavaScript;PHP;SQL
204,52,Python;Other(s):
205,35,C#;HTML/CSS;JavaScript;PHP
206,56,Scala;SQL
207,34,Java
208,52,Other(s):
209,29,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL
210,31,C++;Go;Java;JavaScript;Python;Rust;WebAssembly
211,57,C#;HTML/CSS;Java;JavaScript;Objective-C;SQL
212,46,C#;HTML/CSS;Java;JavaScript;PHP
213,29,Go;Python
214,45,R;Other(s):
215,19,Python;Rust
216,36,Go;Java;Python
217,22,Go;HTML/CSS;JavaScript;PHP;TypeScript
218,33,HTML/CSS;JavaScript;PHP;SQL
219,28,C#;HTML/CSS;JavaScript;SQL
220,21,C#;HTML/CSS;JavaScript;SQL
221,29,C;C++;HTML/CSS;Java;JavaScript;PHP;SQL
222,32,Assembly;Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Other(s):
223,24,Java;Kotlin
224,45,Go
225,48,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL
226,20,HTML/CSS;JavaScript;PHP;Python;SQL
227,21,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL
228,54,HTML/CSS;Java;JavaScript;Python;Scala;SQL
229,51,HTML/CSS;Java;JavaScript;Python;TypeScript
230,49,Bash/Shell/PowerShell;Go;Python
231,20,Elixir;Go;JavaScript;Ruby;SQL
232,36,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript
233,49,C++;Python
234,31,Bash/Shell/PowerShell;C;Python
235,22,HTML/CSS;Java;Python;SQL
236,41,HTML/CSS;JavaScript
237,18,C++;JavaScript;Rust
238,27,HTML/CSS;JavaScript;Objective-C;PHP;Python
239,42,C#;HTML/CSS;JavaScript;TypeScript
240,51,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL
241,24,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
242,29,HTML/CSS;Java;JavaScript;SQL;TypeScript
243,18,C;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Swift
244,42,Assembly;Bash/Shell/PowerShell;C;Python;VBA
245,28,C#;JavaScript;TypeScript
246,32,C#;HTML/CSS;JavaScript;SQL;TypeScript
247,36,C++;C#
248,20,HTML/CSS;Java;JavaScript;Python;SQL
249,41,Bash/Shell/PowerShell;C#;HTML/CSS;Java;Python;SQL
250,47,Python;Other(s):
251,45,Assembly;C;C++;C#;HTML/CSS;JavaScript;Python;VBA
252,29,HTML/CSS;JavaScript;Rust;Swift;Other(s):
253,25,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Ruby;SQL
254,46,C#;Python;SQL;TypeScript
255,50,Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;Python;TypeScript;Other(s):
256,20,C;C++;Java
257,21,Bash/Shell/PowerShell;Other(s):
258,29,C;HTML/CSS;Java;JavaScript;PHP;Python
259,24,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
260,55,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL
261,54,HTML/CSS;JavaScript
262,37,C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
263,34,HTML/CSS;JavaScript;Kotlin;Python
264,56,HTML/CSS;Java;JavaScript;Python;SQL;Other(s):
265,34,HTML/CSS;JavaScript
266,25,HTML/CSS;JavaScript;TypeScript;Other(s):
267,40,HTML/CSS;JavaScript;Python;Ruby
268,52,C;Java;PHP;Ruby
269,48,C#;HTML/CSS;Java;JavaScript;SQL;Swift
270,43,C++;HTML/CSS;JavaScript
271,38,C#;JavaScript;SQL
272,39,HTML/CSS;JavaScript;PHP
273,53,Bash/Shell/PowerShell;C++;Clojure;Erlang;HTML/CSS;Java;JavaScript;Ruby;Scala
274,38,Java;JavaScript
275,56,C#;HTML/CSS;Java;JavaScript;Objective-C;Python;Ruby;Rust;SQL;TypeScript
276,50,HTML/CSS;Java;JavaScript;Scala;SQL
277,23,Bash/Shell/PowerShell;C;C++;Python
278,41,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL
279,47,HTML/CSS;Java;JavaScript;PHP;Python;SQL
280,52,C#;HTML/CSS;JavaScript;SQL;TypeScript
281,44,C#;HTML/CSS;Java;JavaScript;TypeScript
282,49,Python;SQL;Swift
283,56,HTML/CSS;JavaScript;TypeScript
284,54,Assembly;Bash/Shell/PowerShell;C;C++;C#;Java
285,39,C#;HTML/CSS;JavaScript;PHP;SQL
286,32,Dart;HTML/CSS;JavaScript;Python;TypeScript;Other(s):
287,38,Java;Kotlin
288,24,HTML/CSS;JavaScript;PHP;SQL
289,18,C++;C#;PHP;Rust;TypeScript
290,20,HTML/CSS;PHP;Python
291,35,Go;HTML/CSS;Python;SQL;TypeScript
292,36,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
293,48,HTML/CSS;Java;JavaScript;SQL
295,36,C;C++;C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript;WebAssembly
296,54,HTML/CSS;Java;JavaScript;SQL
297,25,HTML/CSS;Java;JavaScript;SQL;TypeScript
298,53,HTML/CSS;JavaScript;PHP;SQL;Other(s):
299,41,Assembly;C;C++;Java;Python;SQL
300,36,HTML/CSS;Java;JavaScript;SQL
301,47,C++;C#;Clojure;JavaScript;PHP;Python;SQL;VBA
302,52,Bash/Shell/PowerShell;C#;Python;Other(s):
303,39,JavaScript
304,53,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;Rust;SQL
305,52,C#;HTML/CSS;JavaScript;SQL
306,57,C;HTML/CSS;JavaScript;Python;SQL;TypeScript
307,42,Assembly;Bash/Shell/PowerShell;C;HTML/CSS;Java;PHP;Python;R;SQL
308,23,HTML/CSS;JavaScript;Ruby
309,26,Java
310,42,C#;HTML/CSS;JavaScript;SQL;Swift
311,55,Assembly;C;C++;C#;HTML/CSS;Java;Python;Scala;SQL
312,19,Bash/Shell/PowerShell;Python;Ruby;SQL
313,28,C;C#;HTML/CSS;PHP;Python
314,52,C;Python
315,46,C++;HTML/CSS;Java;JavaScript;Python;SQL;Other(s):
316,25,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python
317,47,Java;SQL
318,37,Bash/Shell/PowerShell;Java
319,33,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;TypeScript
320,35,C#;HTML/CSS;JavaScript;SQL;TypeScript
321,53,HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript
322,45,C#;HTML/CSS;Java;Python
323,41,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
324,23,C#;HTML/CSS;JavaScript;SQL;TypeScript
325,31,Assembly;Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python
326,35,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
327,43,HTML/CSS;Java;JavaScript;PHP;Python;SQL
328,21,HTML/CSS;Java;JavaScript;TypeScript
329,21,C;C++;C#;F#;HTML/CSS;JavaScript;Rust;SQL;TypeScript;Other(s):
330,54,Java;Kotlin
331,35,Bash/Shell/PowerShell;C++;C#;Python
332,27,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Objective-C;Python;SQL;Swift;TypeScript
333,30,Python;Rust;Scala
334,37,Bash/Shell/PowerShell;C;C++;Python
335,42,C#;HTML/CSS;Java;JavaScript;Python;SQL;Swift
336,28,Bash/Shell/PowerShell;JavaScript;Python;Rust;SQL;TypeScript
337,19,Python;R
338,28,Bash/Shell/PowerShell;HTML/CSS;Java;Python;SQL
339,56,Bash/Shell/PowerShell;Dart;Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL;Swift
340,27,C#;HTML/CSS;SQL
341,39,C++;C#;SQL
342,38,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
343,39,C++
344,38,Assembly;C#;HTML/CSS;JavaScript;SQL
345,25,Java;JavaScript
346,57,Java
347,28,Java
348,23,HTML/CSS;PHP
349,54,C;C++;HTML/CSS;Python
350,34,C;C++;Elixir;HTML/CSS;Java;Kotlin;PHP;Ruby;SQL;Other(s):
351,54,Assembly;C;C++;Java;JavaScript;Python;SQL
352,51,HTML/CSS;JavaScript;Ruby;TypeScript
353,38,HTML/CSS;JavaScript;TypeScript
354,52,HTML/CSS;Java;JavaScript;Kotlin;TypeScript
355,42,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Kotlin;TypeScript
356,50,HTML/CSS;JavaScript;PHP;Python;SQL
357,22,HTML/CSS;TypeScript
358,47,C;C++;C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
359,30,Java;JavaScript;Python
360,18,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;TypeScript
361,40,Elixir;Erlang;F#;Go;HTML/CSS;JavaScript;PHP;SQL
362,44,HTML/CSS;Java;JavaScript;SQL
363,24,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;TypeScript
364,21,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
365,37,Java;SQL
366,35,HTML/CSS;PHP;SQL
367,35,HTML/CSS;JavaScript
368,19,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
369,29,Python
370,33,R;SQL
371,32,Bash/Shell/PowerShell;SQL
372,55,Bash/Shell/PowerShell;C#;HTML/CSS;Java;Python;SQL
373,57,C#;HTML/CSS;Java;JavaScript;Python
374,31,HTML/CSS;Python;SQL;TypeScript
375,23,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL
376,21,C++;Python
377,26,HTML/CSS;JavaScript;PHP;SQL
378,36,C#;HTML/CSS;JavaScript;SQL;TypeScript
379,27,Bash/Shell/PowerShell;C;C#;Java;Python
380,54,Bash/Shell/PowerShell;JavaScript;Python
381,54,C#;Go;HTML/CSS;Java;JavaScript;Python;R;SQL
382,46,C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL
383,38,Bash/Shell/PowerShell
384,29,Bash/Shell/PowerShell;Go;SQL;TypeScript
385,48,HTML/CSS;Java;JavaScript;Python;R;SQL;VBA
386,46,HTML/CSS;JavaScript;PHP
387,44,Java;Python
388,39,C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
389,54,Bash/Shell/PowerShell;JavaScript;Objective-C;Ruby;Swift
390,47,Bash/Shell/PowerShell;HTML/CSS;Java;Kotlin;Python;Scala
391,45,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL
392,56,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA
393,32,Java;Kotlin;PHP;SQL
394,26,C#;HTML/CSS;TypeScript;Other(s):
395,51,HTML/CSS;Java;JavaScript;SQL
396,53,HTML/CSS;JavaScript
397,43,HTML/CSS;JavaScript;PHP;Ruby;Rust;SQL
398,44,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL;VBA
399,20,C++
400,54,Bash/Shell/PowerShell;C++;Java;Kotlin;PHP
401,42,JavaScript;Python;Ruby;SQL;TypeScript
402,31,C#
403,22,Bash/Shell/PowerShell;C;C#;F#;HTML/CSS;JavaScript;PHP;Python;SQL
404,48,C#;SQL;TypeScript
405,26,Java;JavaScript;TypeScript
406,51,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
407,18,C;C++;HTML/CSS;Java;JavaScript;Python;SQL
408,49,Assembly;Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;Java;JavaScript;Python;R;Rust;SQL;TypeScript;WebAssembly
409,22,Bash/Shell/PowerShell;C#;Go;HTML/CSS;JavaScript;PHP
410,36,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
411,34,C;C++;JavaScript;Python;R;SQL
412,55,HTML/CSS;JavaScript;PHP;Python;SQL
413,57,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript
414,42,Bash/Shell/PowerShell;JavaScript;Python;SQL
415,33,HTML/CSS;JavaScript;Ruby
416,24,C;C++;C#;HTML/CSS;JavaScript;SQL;TypeScript
417,30,HTML/CSS;JavaScript
418,55,HTML/CSS;JavaScript;SQL;VBA
419,55,C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL
420,45,HTML/CSS;JavaScript;Python
421,25,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript
422,29,Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;Python;Other(s):
423,55,C++;C#
424,36,C;C++
425,26,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;PHP;SQL;VBA
426,49,Java
427,40,C#;HTML/CSS;JavaScript;SQL;TypeScript
428,38,Bash/Shell/PowerShell;Java;Python
429,18,C#
430,56,Assembly;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL;Other(s):
431,40,VBA;Other(s):
432,47,HTML/CSS;Java;JavaScript;SQL;TypeScript;VBA;Other(s):
433,35,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python
434,39,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
435,51,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;Swift
436,43,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL
438,42,Bash/Shell/PowerShell;C;C++;Go;HTML/CSS;JavaScript;R;SQL
439,56,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
440,53,Bash/Shell/PowerShell;C++;HTML/CSS;Java;PHP;SQL
441,34,C#;HTML/CSS;Java;JavaScript;PHP
442,29,HTML/CSS;JavaScript
443,37,HTML/CSS;JavaScript;TypeScript
444,37,Bash/Shell/PowerShell;C;C++;HTML/CSS;Python
445,55,C#;SQL
446,56,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python
447,54,Bash/Shell/PowerShell;Java;Python
448,21,Bash/Shell/PowerShell;Java;SQL;Other(s):
449,26,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;TypeScript;Other(s):
450,32,C#;HTML/CSS;JavaScript;TypeScript
451,56,Bash/Shell/PowerShell;C;C++;C#;Java;Python;Rust
452,33,SQL;VBA
453,56,C++;C#;SQL
454,34,Bash/Shell/PowerShell;Elixir;HTML/CSS;JavaScript;Ruby;SQL;Other(s):
455,36,C++;Python;Ruby
456,39,Bash/Shell/PowerShell;JavaScript;Python;SQL
457,36,HTML/CSS;JavaScript
458,54,Assembly;C;Python;Rust
459,24,C#;SQL
460,54,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python
461,21,HTML/CSS;JavaScript;PHP;SQL
462,42,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL
463,41,HTML/CSS;Java;JavaScript;PHP;SQL;Other(s):
464,37,C;Python
465,36,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
